X,Y,Z,roll,pitch,yaw,img,path,camID
177050.2634,2535873.8104,46.8187,-82.025804119,-4.427475633,-74.281109125,200721_022603053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177052.8685,2535868.0364,46.8025,-81.266995403,-4.373814434,-74.366870519,200721_022604053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177055.6494,2535861.964,46.7895,-81.298070341,-4.45347019,-74.386560681,200721_022605053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177058.5245,2535855.6607,46.7824,-81.313046727,-4.725473039,-74.301727353,200721_022606054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177061.5556,2535849.0591,46.799,-82.094644493,-4.387129528,-74.468519068,200721_022607054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177064.6192,2535842.3241,46.7728,-82.14819249600001,-4.856298315,-74.62014729,200721_022608054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177067.5847,2535835.737,46.7855,-81.84783537,-4.65448618,-74.584245504,200721_022609054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177070.4009,2535829.4797,46.803,-81.57227519899999,-4.165498265,-74.277041164,200721_022610054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177073.1184,2535823.6253,46.7744,-81.91357616,-4.500299663,-73.806684659,200721_022611054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177075.5856,2535818.3621,46.7797,-81.948892539,-4.238840445,-73.964299993,200721_022612054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177077.589,2535813.8855,46.7653,-82.35631336,-3.8765457889999997,-78.333188255,200721_022613053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177078.8305,2535809.9065,46.7092,-83.08500445,-4.559367528,-91.07948482100001,200721_022614053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177079.1028,2535805.8649,46.6893,-83.005492527,-4.334278996,-99.27663961100001,200721_022615053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177079.1306,2535802.0607,46.6584,-82.707958578,-4.480896513999999,-90.93243002700001,200721_022616053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177079.8749,2535798.6924,46.6449,-82.801846791,-4.881298845,-72.359456509,200721_022617053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177081.6005,2535795.9946,46.6562,-82.42335478300001,-4.763132157,-48.328528945,200721_022618053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177084.1299,2535794.3408,46.6565,-81.747678881,-4.847510309,-22.143055719,200721_022619053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177089.551,2535808.3538,46.6219,-85.520684494,0.411558485,-99.639187326,200721_022526053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177087.5744,2535809.8723,46.6545,-85.787920901,-0.162029624,-109.375466431,200721_022527053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177085.4422,2535812.2817,46.6687,-86.007649496,-0.519952575,-118.516397911,200721_022528053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177083.3258,2535815.5929,46.6944,-86.133961933,-0.968097365,-124.942446346,200721_022529053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177081.305,2535819.5659,46.714,-85.96561650700001,-1.386280046,-128.130144932,200721_022530053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177079.2689,2535823.9905,46.7193,-85.908348699,-1.439094591,-128.79622997799999,200721_022531053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177077.0664,2535828.9013,46.7202,-86.26381623200001,-1.551818995,-128.829349446,200721_022532053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177074.5829,2535834.3323,46.742,-85.812193469,-1.146494302,-128.365157526,200721_022533053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177071.893,2535840.0907,46.7433,-85.385491203,-0.5018093579999999,-128.31346440299998,200721_022534053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177069.1635,2535846.0456,46.7449,-85.786680623,-1.240150587,-128.298013779,200721_022535053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177066.2632,2535852.3126,46.7589,-85.751308526,-1.041031599,-128.290129971,200721_022536053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177063.1542,2535858.9669,46.7649,-85.380281603,-0.444036462,-128.337182268,200721_022537053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177060.0028,2535865.8201,46.7638,-85.58122358,-0.713758022,-128.682445712,200721_022538053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
177056.9198,2535872.534,46.7947,-85.323748895,-0.45519043200000003,-128.733680661,200721_022539053_Camera_2.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera2,2
